users,active,running,startup,first_check,second_check
10,0,0,0.0661563070025295,0.002239797991933301,0.0021351219911593944
10,0.25,2,0.06687788097769953,0.0022190510062500834,0.0021467919868882746
10,1,10,0.07819927399395965,0.00230640999507159,0.002190847008023411
50,0,0,0.0891323070100043,0.0023046320129651576,0.0021333409822545946
50,0.25,12,0.11132685202755965,0.0023835100000724196,0.0022657310182694346
50,1,50,0.16763140299008228,0.002704106009332463,0.002628168003866449
100,0,0,0.141485506988829,0.002347702014958486,0.0021348739974200726
100,0.25,25,0.17306053699576296,0.002752998989308253,0.002465444995323196
100,1,100,0.28034257001127116,0.0031304070143960416,0.0031585980032105
500,0,0,0.43986284799757414,0.002528583980165422,0.00231176899978891
500,0.25,125,0.7095928859780543,0.004229710000799969,0.004222693009069189
500,1,500,1.1943688330065925,0.007172741985414177,0.007330570020712912
1000,0,0,0.9910563489829656,0.0026036659837700427,0.0025273349892813712
1000,0.25,250,1.3836116859747563,0.006086710985982791,0.005907682003453374
1000,1,1000,2.399210008996306,0.01240314799360931,0.012335483013885096
2000,0,0,2.1534437959780917,0.003195119003066793,0.003246527980081737
2000,0.25,500,2.8552292180247605,0.010012721992097795,0.010281911003403366
2000,1,2000,4.911508490011329,0.022603673016419634,0.022562213998753577
5000,0,0,6.380964621988824,0.005139633984072134,0.00499558899900876
5000,0.25,1250,8.384061491000466,0.02132125000935048,0.021328211994841695
5000,1,5000,14.043261846993119,0.057618048012955114,0.05612570498487912
