users,active,running,startup,spawn,first_users,second_users
10,0,0,0.07591033700009575,0.00763498900050763,0.014559112998540513,0.009878312001092127
10,0.25,2,0.07489668400012306,0.023485736001020996,0.014941830999305239,0.01008719600213226
10,1,10,0.0855630599980941,0.017885512999782804,0.014950456999940798,0.010931650002021343
50,0,0,0.09371304199885344,0.03060906599785085,0.03282760100046289,0.010418753001431469
50,0.25,12,0.1044542259987793,0.04928580699925078,0.03320714099754696,0.010609688997647027
50,1,50,0.178426741000294,0.08050830600041081,0.03258154099967214,0.011030761001165956
100,0,0,0.10117714800071553,0.057853499998600455,0.054264140999293886,0.012161114998889389
100,0.25,25,0.1808154310019745,0.09409546499955468,0.05381812199993874,0.011946886999794515
100,1,100,0.3013054269977147,0.1617321230005473,0.05492257299920311,0.012218202999065397
500,0,0,0.4471331980021205,0.32215871500011417,0.23259181200046442,0.021347058998799184
500,0.25,125,0.641051905000495,0.5411833569996816,0.23442174499723478,0.021459921001223847
500,1,500,1.2300907589997223,0.9577088619989809,0.25185903000237886,0.0219493570002669
1000,0,0,0.7723850959991978,0.6533386800001608,0.4812246410001535,0.03209825700105284
1000,0.25,250,1.072824283997761,0.9961120240004675,0.44574610099880374,0.03317778299970087
1000,1,1000,1.7367972800020652,1.668989073998091,0.45277616100065643,0.036230222998710815
2000,0,0,1.5739021890003642,1.5043619099997159,0.8943398100018385,0.05296190499939257
2000,0.25,500,2.234105274998001,2.1673817779992532,0.883427777000179,0.08587518200147315
2000,1,2000,3.6094104439980583,3.529394526998658,0.881166088001919,0.06362747200182639
5000,0,0,5.483610049002891,5.198031346000789,2.269815119001578,0.11761166299766046
5000,0.25,1250,7.053105786999367,6.918075353998574,2.173770469002193,0.12582563199975993
5000,1,5000,10.435411296999519,10.310247527002502,2.3610704080019786,0.1320320790000551
