users,active,running,startup,spawn,first_users,second_users
10,0,0,0.036353240022435784,0.0015559109160676599,0.03030871390365064,0.01088029402308166
10,0.1,1,0.039987035910598934,0.006344249006360769,0.02863003790844232,0.010450636968016624
10,0.25,2,0.0438668429851532,0.00897832796908915,0.027407611021772027,0.010402977000921965
10,0.5,5,0.04819943604525179,0.014411140000447631,0.024560022982768714,0.010309398989193141
10,1,10,0.05416257004253566,0.017553653102368116,0.023187967017292976,0.01115251099690795
50,0,0,0.03507055900990963,0.0017016599886119366,0.1060678280191496,0.01189515390433371
50,0.1,5,0.052674489095807076,0.017540603992529213,0.10121673403773457,0.011788617935962975
50,0.25,12,0.06868157791905105,0.03448745794594288,0.09043667698279023,0.01169109798502177
50,0.5,25,0.0901630730368197,0.056898271082900465,0.0800270619802177,0.011688638012856245
50,1,50,0.11947216291446239,0.0849049499956891,0.06681193504482508,0.012249239021912217
100,0,0,0.036432727007195354,0.002040174906142056,0.20526532898657024,0.013360058073885739
100,0.1,10,0.06071531504858285,0.02581563196144998,0.19333433092106134,0.013426900026388466
100,0.25,25,0.09281467110849917,0.05839020397979766,0.1753562589874491,0.01331818604376167
100,0.5,50,0.1535290030296892,0.11909326806198806,0.1437228760914877,0.01442518294788897
100,1,100,0.2096985309617594,0.174068539054133,0.11300266603939235,0.013378874980844557
500,0,0,0.04593064996879548,0.0017507190350443125,1.0172623489052057,0.026392222032882273
500,0.1,50,0.18644649197813123,0.14265757496468723,0.9204903140198439,0.026872094022110105
500,0.25,125,0.3855175720527768,0.34243692201562226,0.8282845099456608,0.02700604498386383
500,0.5,250,0.6124406940070912,0.5711128490511328,0.704889033921063,0.026983264950104058
500,1,500,0.9821604830212891,0.9414415439823642,0.5296495580114424,0.027713295072317123
1000,0,0,0.049135576002299786,0.0017160020070150495,2.064980521914549,0.04335594200529158
1000,0.1,100,0.4031810510205105,0.3543433580780402,1.9043832930037752,0.04412429500371218
1000,0.25,250,0.6853942238958552,0.6376707929885015,1.7042145510204136,0.04637208697386086
1000,0.5,500,1.188753879046999,1.1382904800120741,1.4438385269604623,0.04504345392342657
1000,1,1000,1.8679066270124167,1.8170568880159408,1.0666725490009412,0.04495259409304708
2000,0,0,0.06641503400169313,0.002244842005893588,4.242616727948189,0.07709402695763856
2000,0.1,200,0.6419535699533299,0.5739881109911948,3.9661866310052574,0.07898515905253589
2000,0.25,500,1.4082908330019563,1.339872409007512,3.566499424050562,0.0801711130188778
2000,0.5,1000,2.4124360779533163,2.3314709350233898,3.2252714479109272,0.07961527304723859
2000,1,2000,4.038681806065142,3.9583548679947853,2.1758063279557973,0.08070856495760381
5000,0,0,0.14331270405091345,0.0022069020196795464,12.209310434060171,0.23800434893928468
5000,0.1,500,1.685238286969252,1.5511355419876054,11.229029869893566,0.17972346302121878
5000,0.25,1250,3.7993790969485417,3.665682449005544,10.000255708000623,0.18415168998762965
5000,0.5,2500,6.6572769390186295,6.526461189961992,9.86477599607315,0.2811701230239123
5000,1,5000,10.851322193979286,10.733596520964056,7.773362393956631,0.18942040798719972
