users,active,running,startup,spawn,first_users,second_users
10,0,0,0.06826369400005206,0.0016866250007296912,0.025224740002158796,0.010835113000212004
10,0.25,2,0.06615837999925134,0.008932456003094558,0.02565584700278123,0.010738945999037242
10,1,10,0.07803922300081467,0.022069177000958007,0.08539057999951183,0.010855344000447076
50,0,0,0.127047712001513,0.0017327940004179254,0.059546819000388496,0.011917301999346819
50,0.25,12,0.15205406700260937,0.038449209998361766,0.06042997500117053,0.012648568997974508
50,1,50,0.1874373819991888,0.07904006500029936,0.061639084000489675,0.012415363002219237
100,0,0,0.22038684499784722,0.001666382002440514,0.10660266099876026,0.013880841997888638
100,0.25,25,0.24486941999930423,0.05634685499899206,0.10699195699999109,0.013761735001025954
100,1,100,0.3397519049976836,0.17599843700008933,0.10718127699874458,0.013685688998521073
500,0,0,0.8991677640005946,0.0016988559982564766,0.4660366950010939,0.027861221999046393
500,0.25,125,1.1288564860005863,0.3476167289991281,0.4579768969997531,0.027120126997033367
500,1,500,1.5457702679996146,0.8823614979992271,0.4926041879989498,0.029386386999249225
1000,0,0,1.943295756002044,0.0017641260019445326,0.8923727830006101,0.04391510699861101
1000,0.25,250,2.180804125000577,0.6272585059996345,0.9277435800031526,0.045066304999636486
1000,1,1000,3.16082466700027,1.7970147300002282,0.948504302999936,0.046195050003007054
2000,0,0,4.19580690300063,0.0023729550011921674,1.825537565000559,0.0796549260012398
2000,0.25,500,4.57677247799802,1.3388053970011242,1.8241239490016596,0.07886429800055339
2000,1,2000,6.50273487099912,3.8395914979992085,1.8741712009978073,0.08336433899967233
5000,0,0,11.15553502900002,0.0019471449995762669,4.441956798000319,0.1810483010012831
5000,0.25,1250,12.764268678998633,3.5870217029987543,4.566616521002288,0.265028830999654
5000,1,5000,17.774350787000003,10.599213307003083,4.66386749099911,0.1943425669996941
