users,active,running,startup,spawn,first_users,second_users
10,0,0,0.051843032999386196,0.0164526440003101,0.025839731000814936,0.010794874000566779
10,0.25,2,0.0557927079989895,0.019469999000648386,0.025988394001615234,0.0106821770004899
10,1,10,0.05486322799879417,0.021866815999601386,0.025224638999134186,0.010641531000146642
50,0,0,0.11288498899921251,0.07748966899998777,0.061646154999834835,0.012203414999021334
50,0.25,12,0.11877727899991442,0.08422748600060004,0.07373050900059752,0.012183456999991904
50,1,50,0.13990499099963927,0.10166424999988521,0.060549687999809976,0.011812050999651547
100,0,0,0.18936112300070818,0.15492445500058238,0.10476834800101642,0.013720774999455898
100,0.25,25,0.20587330799935444,0.17072758399990562,0.12107927800025209,0.013869185999283218
100,1,100,0.23420815099962056,0.19730875999994169,0.1050325790001807,0.01375510100115207
500,0,0,0.8387742380000418,0.7954637710008683,0.45916466699964076,0.026495400999920093
500,0.25,125,0.9220304400005261,0.8787318839986256,0.4608891159987252,0.026750664999781293
500,1,500,1.0933526009994239,1.0520826490010222,0.4854661329991359,0.02715686800002004
1000,0,0,1.6500396989995352,1.6008530230010365,0.9325150339991524,0.043065633000878734
1000,0.25,250,1.9631509610007924,1.9155886130010913,1.0131905079997523,0.04485390400077449
1000,1,1000,2.1745563260010385,2.1244793880014186,0.9124060459998873,0.04564297100114345
2000,0,0,3.502969701001348,3.439380796000478,1.8237305610000476,0.0759830660008447
2000,0.25,500,3.8573480659997585,3.7899662740001077,1.8446382009988156,0.07918480599983013
2000,1,2000,4.522698509999827,4.442014807000305,1.8594536750006228,0.08146376800141297
5000,0,0,10.096550882000884,9.961859465000089,4.537707978999606,0.17963333499938017
5000,0.25,1250,11.004136881001614,10.872122112999932,4.4853129319999425,0.1808809989997826
5000,1,5000,12.7381394490003,12.620420658999137,4.543941021000137,0.28496577799887746
